vi	V(N005,N002)	I(Rd)
1.877999999999991e+00	-3.120297e+00	8.516679e-06
1.878999999999991e+00	-3.119262e+00	8.687460e-06
1.879999999999991e+00	-3.118228e+00	8.861652e-06
1.880999999999991e+00	-3.117192e+00	9.039323e-06
1.881999999999991e+00	-3.116156e+00	9.220544e-06
1.882999999999991e+00	-3.115119e+00	9.405383e-06
1.883999999999991e+00	-3.114081e+00	9.593913e-06
1.884999999999991e+00	-3.113043e+00	9.786208e-06
1.885999999999991e+00	-3.112003e+00	9.982340e-06
1.886999999999990e+00	-3.110963e+00	1.018239e-05
1.887999999999990e+00	-3.109923e+00	1.038643e-05
1.888999999999990e+00	-3.108881e+00	1.059454e-05
1.889999999999990e+00	-3.107839e+00	1.080681e-05
1.890999999999990e+00	-3.106795e+00	1.102331e-05
1.891999999999990e+00	-3.105751e+00	1.124413e-05
1.892999999999990e+00	-3.104706e+00	1.146935e-05
1.893999999999990e+00	-3.103660e+00	1.169907e-05
1.894999999999990e+00	-3.102613e+00	1.193337e-05
1.895999999999989e+00	-3.101566e+00	1.217234e-05
1.896999999999989e+00	-3.100517e+00	1.241607e-05
1.897999999999989e+00	-3.099467e+00	1.266466e-05
1.898999999999989e+00	-3.098416e+00	1.291821e-05
1.899999999999989e+00	-3.097365e+00	1.317681e-05
1.900999999999989e+00	-3.096312e+00	1.344056e-05
1.901999999999989e+00	-3.095258e+00	1.370956e-05
1.902999999999989e+00	-3.094203e+00	1.398393e-05
1.903999999999989e+00	-3.093147e+00	1.426376e-05
1.904999999999988e+00	-3.092090e+00	1.454916e-05
1.905999999999988e+00	-3.091032e+00	1.484025e-05
1.906999999999988e+00	-3.089973e+00	1.513713e-05
1.907999999999988e+00	-3.088912e+00	1.543992e-05
1.908999999999988e+00	-3.087850e+00	1.574874e-05
1.909999999999988e+00	-3.086787e+00	1.606370e-05
1.910999999999988e+00	-3.085723e+00	1.638493e-05
1.911999999999988e+00	-3.084657e+00	1.671255e-05
1.912999999999988e+00	-3.083591e+00	1.704669e-05
1.913999999999987e+00	-3.082522e+00	1.738747e-05
1.914999999999987e+00	-3.081453e+00	1.773503e-05
1.915999999999987e+00	-3.080382e+00	1.808950e-05
1.916999999999987e+00	-3.079310e+00	1.845102e-05
1.917999999999987e+00	-3.078236e+00	1.881972e-05
1.918999999999987e+00	-3.077161e+00	1.919575e-05
1.919999999999987e+00	-3.076084e+00	1.957925e-05
1.920999999999987e+00	-3.075006e+00	1.997037e-05
1.921999999999987e+00	-3.073926e+00	2.036925e-05
1.922999999999986e+00	-3.072845e+00	2.077606e-05
1.923999999999986e+00	-3.071762e+00	2.119095e-05
1.924999999999986e+00	-3.070677e+00	2.161407e-05
1.925999999999986e+00	-3.069591e+00	2.204560e-05
1.926999999999986e+00	-3.068503e+00	2.248568e-05
1.927999999999986e+00	-3.067413e+00	2.293450e-05
1.928999999999986e+00	-3.066322e+00	2.339223e-05
1.929999999999986e+00	-3.065228e+00	2.385903e-05
1.930999999999986e+00	-3.064133e+00	2.433509e-05
1.931999999999986e+00	-3.063036e+00	2.482058e-05
1.932999999999985e+00	-3.061937e+00	2.531571e-05
1.933999999999985e+00	-3.060836e+00	2.582064e-05
1.934999999999985e+00	-3.059733e+00	2.633559e-05
1.935999999999985e+00	-3.058628e+00	2.686073e-05
1.936999999999985e+00	-3.057521e+00	2.739628e-05
1.937999999999985e+00	-3.056412e+00	2.794244e-05
1.938999999999985e+00	-3.055300e+00	2.849941e-05
1.939999999999985e+00	-3.054186e+00	2.906741e-05
1.940999999999985e+00	-3.053071e+00	2.964664e-05
1.941999999999984e+00	-3.051953e+00	3.023735e-05
1.942999999999984e+00	-3.050832e+00	3.083974e-05
1.943999999999984e+00	-3.049709e+00	3.145404e-05
1.944999999999984e+00	-3.048584e+00	3.208050e-05
1.945999999999984e+00	-3.047456e+00	3.271934e-05
1.946999999999984e+00	-3.046326e+00	3.337082e-05
1.947999999999984e+00	-3.045193e+00	3.403517e-05
1.948999999999984e+00	-3.044057e+00	3.471264e-05
1.949999999999984e+00	-3.042919e+00	3.540351e-05
1.950999999999983e+00	-3.041778e+00	3.610801e-05
1.951999999999983e+00	-3.040635e+00	3.682643e-05
1.952999999999983e+00	-3.039488e+00	3.755904e-05
1.953999999999983e+00	-3.038339e+00	3.830611e-05
1.954999999999983e+00	-3.037187e+00	3.906791e-05
1.955999999999983e+00	-3.036031e+00	3.984475e-05
1.956999999999983e+00	-3.034873e+00	4.063691e-05
1.957999999999983e+00	-3.033711e+00	4.144469e-05
1.958999999999983e+00	-3.032546e+00	4.226840e-05
1.959999999999982e+00	-3.031378e+00	4.310835e-05
1.960999999999982e+00	-3.030207e+00	4.396485e-05
1.961999999999982e+00	-3.029032e+00	4.483822e-05
1.962999999999982e+00	-3.027854e+00	4.572879e-05
1.963999999999982e+00	-3.026673e+00	4.663691e-05
1.964999999999982e+00	-3.025488e+00	4.756289e-05
1.965999999999982e+00	-3.024299e+00	4.850711e-05
1.966999999999982e+00	-3.023106e+00	4.946990e-05
1.967999999999982e+00	-3.021910e+00	5.045164e-05
1.968999999999981e+00	-3.020709e+00	5.145268e-05
