vi	V(N005,N002)	I(Rd)
2.295999999999946e+00	9.231713e-01	1.813586e-02
2.296999999999946e+00	9.772894e-01	1.840145e-02
2.297999999999945e+00	1.032067e+00	1.867034e-02
2.298999999999945e+00	1.087510e+00	1.894255e-02
2.299999999999945e+00	1.143624e+00	1.921812e-02
2.300999999999945e+00	1.200416e+00	1.949708e-02
2.301999999999945e+00	1.257890e+00	1.977945e-02
2.302999999999945e+00	1.316054e+00	2.006527e-02
2.303999999999945e+00	1.374913e+00	2.035457e-02
2.304999999999945e+00	1.434474e+00	2.064737e-02
2.305999999999945e+00	1.494742e+00	2.094371e-02
2.306999999999944e+00	1.555724e+00	2.124362e-02
2.307999999999944e+00	1.617425e+00	2.154713e-02
2.308999999999944e+00	1.679852e+00	2.185426e-02
2.309999999999944e+00	1.743011e+00	2.216506e-02
2.310999999999944e+00	1.806908e+00	2.247954e-02
2.311999999999944e+00	1.871549e+00	2.279774e-02
2.312999999999944e+00	1.936940e+00	2.311970e-02
2.313999999999944e+00	2.003088e+00	2.344544e-02
2.314999999999944e+00	2.069998e+00	2.377499e-02
2.315999999999943e+00	2.137677e+00	2.410839e-02
2.316999999999943e+00	2.206131e+00	2.444566e-02
2.317999999999943e+00	2.245350e+00	2.463675e-02
2.318999999999943e+00	2.250538e+00	2.465769e-02
2.319999999999943e+00	2.254381e+00	2.467190e-02
2.320999999999943e+00	2.257525e+00	2.468262e-02
2.321999999999943e+00	2.260354e+00	2.469177e-02
2.322999999999943e+00	2.262956e+00	2.469978e-02
2.323999999999943e+00	2.265385e+00	2.470693e-02
2.324999999999942e+00	2.267681e+00	2.471340e-02
2.325999999999942e+00	2.269868e+00	2.471934e-02
2.326999999999942e+00	2.271967e+00	2.472483e-02
2.327999999999942e+00	2.273991e+00	2.472995e-02
2.328999999999942e+00	2.275951e+00	2.473476e-02
2.329999999999942e+00	2.277856e+00	2.473928e-02
2.330999999999942e+00	2.279712e+00	2.474356e-02
2.331999999999942e+00	2.281524e+00	2.474762e-02
2.332999999999942e+00	2.283298e+00	2.475149e-02
2.333999999999941e+00	2.285037e+00	2.475519e-02
2.334999999999941e+00	2.286744e+00	2.475872e-02
2.335999999999941e+00	2.288423e+00	2.476211e-02
2.336999999999941e+00	2.290075e+00	2.476537e-02
2.337999999999941e+00	2.291703e+00	2.476851e-02
2.338999999999941e+00	2.293308e+00	2.477154e-02
2.339999999999941e+00	2.294892e+00	2.477446e-02
2.340999999999941e+00	2.296457e+00	2.477729e-02
2.341999999999941e+00	2.298004e+00	2.478002e-02
2.342999999999940e+00	2.299534e+00	2.478267e-02
2.343999999999940e+00	2.301048e+00	2.478524e-02
2.344999999999940e+00	2.302547e+00	2.478774e-02
2.345999999999940e+00	2.304032e+00	2.479016e-02
2.346999999999940e+00	2.305504e+00	2.479252e-02
2.347999999999940e+00	2.306963e+00	2.479482e-02
2.348999999999940e+00	2.308410e+00	2.479705e-02
2.349999999999940e+00	2.309845e+00	2.479923e-02
2.350999999999940e+00	2.311271e+00	2.480135e-02
2.351999999999939e+00	2.312685e+00	2.480342e-02
2.352999999999939e+00	2.314090e+00	2.480545e-02
2.353999999999939e+00	2.315485e+00	2.480743e-02
2.354999999999939e+00	2.316871e+00	2.480936e-02
2.355999999999939e+00	2.318249e+00	2.481125e-02
2.356999999999939e+00	2.319619e+00	2.481309e-02
2.357999999999939e+00	2.320980e+00	2.481490e-02
2.358999999999939e+00	2.322334e+00	2.481667e-02
2.359999999999939e+00	2.323681e+00	2.481841e-02
2.360999999999938e+00	2.325021e+00	2.482011e-02
2.361999999999938e+00	2.326354e+00	2.482177e-02
2.362999999999938e+00	2.327680e+00	2.482340e-02
2.363999999999938e+00	2.329001e+00	2.482500e-02
2.364999999999938e+00	2.330315e+00	2.482658e-02
2.365999999999938e+00	2.331623e+00	2.482812e-02
2.366999999999938e+00	2.332926e+00	2.482963e-02
2.367999999999938e+00	2.334223e+00	2.483111e-02
2.368999999999938e+00	2.335515e+00	2.483257e-02
2.369999999999937e+00	2.336801e+00	2.483401e-02
2.370999999999937e+00	2.338083e+00	2.483542e-02
2.371999999999937e+00	2.339360e+00	2.483680e-02
2.372999999999937e+00	2.340632e+00	2.483816e-02
2.373999999999937e+00	2.341900e+00	2.483950e-02
2.374999999999937e+00	2.343163e+00	2.484082e-02
2.375999999999937e+00	2.344422e+00	2.484211e-02
2.376999999999937e+00	2.345677e+00	2.484339e-02
2.377999999999937e+00	2.346928e+00	2.484464e-02
2.378999999999936e+00	2.348175e+00	2.484587e-02
2.379999999999936e+00	2.349418e+00	2.484709e-02
2.380999999999936e+00	2.350657e+00	2.484829e-02
2.381999999999936e+00	2.351893e+00	2.484946e-02
2.382999999999936e+00	2.353125e+00	2.485062e-02
2.383999999999936e+00	2.354354e+00	2.485177e-02
2.384999999999936e+00	2.355579e+00	2.485289e-02
2.385999999999936e+00	2.356801e+00	2.485400e-02
2.386999999999936e+00	2.358020e+00	2.485510e-02
2.387999999999936e+00	2.359235e+00	2.485618e-02
2.388999999999935e+00	2.360448e+00	2.485724e-02
2.389999999999935e+00	2.361658e+00	2.485829e-02
2.390999999999935e+00	2.362864e+00	2.485932e-02
2.391999999999935e+00	2.364068e+00	2.486034e-02
2.392999999999935e+00	2.365269e+00	2.486135e-02
2.393999999999935e+00	2.366467e+00	2.486234e-02
2.394999999999935e+00	2.367663e+00	2.486332e-02
2.395999999999935e+00	2.368856e+00	2.486428e-02
2.396999999999935e+00	2.370047e+00	2.486523e-02
2.397999999999934e+00	2.371235e+00	2.486617e-02
2.398999999999934e+00	2.372420e+00	2.486710e-02
2.400000000000000e+00	2.373604e+00	2.486802e-02
