#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA294A
#Date Time: 2025-12-17 02:15:09.735
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -2 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 50 Hz
#Period: 20 ms
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: DC
#Offset: 5 V

Time (s)	Channel 1 (V)
-0.5805	4.400965685170156
-0.580375	4.393562953850408
-0.58025	4.386160222530672
-0.580125	4.382458856870796
-0.58	4.37875749121092
-0.579875	4.371354759891179
-0.57975	4.386160222530668
-0.5796250000000001	4.54902031156496
-0.5795	4.608242162122985
-0.579375	4.652658550041463
-0.57925	4.685970840980281
-0.579125	4.708179034939528
-0.579	4.726685863238894
-0.578875	4.741491325878375
-0.57875	4.752595422857992
-0.5786250000000001	4.763699519837601
-0.5785	4.767400885497478
-0.578375	4.774803616817224
-0.57825	4.778504982477093
-0.578125	4.782206348136967
-0.578	4.78590771379684
-0.577875	4.78960907945671
-0.57775	4.793310445116583
-0.5776250000000001	4.793310445116583
-0.5775	4.797011810776454
-0.577375	4.797011810776454
-0.57725	4.797011810776454
-0.577125	4.800713176436327
-0.577	4.800713176436327
-0.576875	4.800713176436327
-0.57675	4.804414542096199
-0.5766250000000001	4.804414542096199
-0.5765	4.804414542096199
-0.576375	4.804414542096199
-0.57625	4.804414542096199
-0.576125	4.804414542096199
-0.576	4.804414542096199
-0.575875	4.804414542096199
-0.57575	4.804414542096199
-0.5756250000000001	4.804414542096199
-0.5755	4.804414542096199
-0.575375	4.804414542096199
-0.57525	4.804414542096199
-0.575125	4.80811590775607
-0.575	4.80811590775607
-0.574875	4.80811590775607
-0.57475	4.80811590775607
-0.5746250000000001	4.80811590775607
-0.5745	4.80811590775607
-0.574375	4.80811590775607
-0.57425	4.80811590775607
-0.574125	4.80811590775607
-0.574	4.80811590775607
-0.573875	4.80811590775607
-0.57375	4.80811590775607
-0.5736250000000001	4.80811590775607
-0.5735	4.80811590775607
-0.573375	4.8044145420962
-0.57325	4.808115907756068
-0.573125	4.80811590775607
-0.573	4.80811590775607
-0.572875	4.80811590775607
-0.57275	4.80811590775607
-0.5726250000000001	4.80811590775607
-0.5725	4.80811590775607
-0.572375	4.80811590775607
-0.57225	4.80811590775607
-0.572125	4.804414542096199
-0.572	4.80811590775607
-0.571875	4.80811590775607
-0.57175	4.80811590775607
-0.571625	4.80811590775607
-0.5715	4.80811590775607
-0.571375	4.80811590775607
-0.57125	4.80811590775607
-0.571125	4.80811590775607
-0.571	4.80811590775607
-0.570875	4.80811590775607
-0.57075	4.80811590775607
-0.570625	4.80811590775607
-0.5705	4.80811590775607
-0.570375	4.808115907756068
-0.57025	4.8044145420962
-0.570125	4.804414542096199
-0.57	4.80811590775607
-0.569875	4.80811590775607
-0.56975	4.80811590775607
-0.569625	4.8044145420962
-0.5695	4.797011810776454
-0.569375	4.789609079456708
-0.56925	4.785907713796838
-0.569125	4.778504982477095
-0.569	4.771102251157349
-0.568875	4.767400885497478
-0.56875	4.759998154177735
-0.568625	4.756296788517865
-0.5685	4.748894057198119
-0.5683750000000001	4.745192691538248
-0.56825	4.737789960218503
-0.568125	4.734088594558632
-0.5680000000000001	4.726685863238891
-0.567875	4.719283131919143
-0.56775	4.715581766259271
-0.567625	4.708179034939532
-0.5675	4.704477669279655
-0.567375	4.697074937959909
-0.56725	4.69337357230004
-0.567125	4.685970840980296
-0.5669999999999999	4.68226947532042
-0.566875	4.674866744000679
-0.5667500000000001	4.67116537834081
-0.5666249999999999	4.663762647021063
-0.5665	4.660061281361193
-0.5663750000000001	4.652658550041451
-0.56625	4.645255818721704
-0.566125	4.641554453061833
-0.5660000000000001	4.634151721742092
-0.565875	4.630450356082216
-0.56575	4.626748990422341
-0.565625	4.619346259102604
-0.5655	4.615644893442729
-0.565375	4.608242162122983
-0.56525	4.604540796463112
-0.565125	4.597138065143369
-0.5649999999999999	4.593436699483494
-0.564875	4.586033968163753
-0.5647500000000001	4.582332602503882
-0.5646249999999999	4.578631236844005
-0.5645	4.571228505524266
-0.5643750000000001	4.563825774204525
-0.56425	4.560124408544649
-0.564125	4.552721677224906
-0.5640000000000001	4.549020311565036
-0.563875	4.54161758024529
-0.56375	4.537916214585413
-0.563625	4.530513483265677
-0.5635	4.526812117605802
-0.563375	4.523110751945927
-0.56325	4.515708020626186
-0.563125	4.512006654966314
-0.5629999999999999	4.504603923646568
-0.562875	4.500902557986699
-0.5627500000000001	4.493499826666958
-0.5626249999999999	4.489798461007078
-0.5625	4.482395729687338
-0.5623750000000001	4.478694364027469
-0.56225	4.474992998367595
-0.562125	4.46759026704785
-0.5620000000000001	4.46388890138798
-0.561875	4.456486170068235
-0.56175	4.452784804408362
-0.561625	4.449083438748493
-0.5615	4.441680707428747
-0.561375	4.437979341768871
-0.56125	4.430576610449132
-0.561125	4.426875244789259
-0.5609999999999999	4.419472513469513
-0.560875	4.415771147809643
-0.5607500000000001	4.408368416489903
-0.5606249999999999	4.404667050830024
-0.5605	4.397264319510283
-0.5603750000000001	4.393562953850413
-0.56025	4.386160222530668
-0.560125	4.382458856870796
-0.5600000000000001	4.378757491210926
-0.559875	4.371354759891179
-0.55975	4.386160222530742
