#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA294A
#Date Time: 2025-12-17 02:29:51.865
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -20 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 10 kHz
#Period: 100 us
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 40 %
#Phase: 0 °
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: DC
#Offset: 5 V

Time (s)	Channel 1 (V)
-0.00258048	21.85306235672966
-0.00257985	21.85676372238953
-0.00257922	21.82715279711055
-0.00257859	21.79754187183157
-0.00257796	21.78273640919209
-0.00257733	21.7679309465526
-0.0025767	21.76422958089273
-0.00257607	21.76052821523286
-0.00257544	21.75312548391311
-0.00257481	21.74942411825324
-0.00257418	21.75312548391311
-0.00257355	21.75682684957298
-0.00257292	21.76052821523286
-0.00257229	21.75682684957298
-0.00257166	21.75682684957298
-0.00257103	21.75312548391311
-0.0025704	21.75682684957298
-0.00256977	21.74942411825324
-0.00256914	21.75312548391311
-0.00256851	21.75312548391311
-0.00256788	21.75682684957298
-0.00256725	21.75682684957298
-0.00256662	21.74942411825324
-0.00256599	21.75312548391311
-0.00256536	21.75312548391311
-0.00256473	21.75312548391311
-0.0025641	21.74942411825324
-0.00256347	21.74572275259337
-0.00256284	21.7420213869335
-0.00256221	21.7420213869335
-0.00256158	21.74572275259337
-0.00256095	21.74942411825324
-0.00256032	21.75312548391311
-0.00255969	21.75682684957298
-0.00255906	21.75312548391311
-0.00255843	21.74942411825324
-0.0025578	21.74942411825324
-0.00255717	21.75312548391311
-0.00255654	21.74572275259337
-0.00255591	21.7420213869335
-0.00255528	21.7420213869335
-0.00255465	21.74572275259337
-0.00255402	21.74572275259337
-0.00255339	21.7420213869335
-0.00255276	21.74572275259337
-0.00255213	21.74942411825324
-0.0025515	21.74942411825324
-0.00255087	21.74572275259337
-0.00255024	21.74572275259337
-0.00254961	21.74942411825324
-0.00254898	21.74942411825324
-0.00254835	21.74942411825324
-0.00254772	21.74572275259337
-0.00254709	21.7420213869335
-0.00254646	21.7420213869335
-0.00254583	21.74572275259337
-0.0025452	21.74572275259337
-0.00254457	21.74572275259337
-0.00254394	21.7420213869335
-0.00254331	21.74572275259337
-0.00254268	21.7420213869335
-0.00254205	21.74572275259337
-0.00254142	21.74202138693349
-0.00254079	21.73461865561375
-0.00254016	21.73832002127362
-0.00253953	21.7420213869335
-0.0025389	21.73461865561375
-0.00253827	21.73832002127362
-0.00253764	21.73832002127362
-0.00253701	21.7420213869335
-0.00253638	21.7420213869335
-0.00253575	21.7420213869335
-0.00253512	21.7420213869335
-0.00253449	21.74572275259337
-0.00253386	21.7420213869335
-0.00253323	21.73832002127362
-0.0025326	21.73832002127362
-0.00253197	21.73832002127362
-0.00253134	21.7420213869335
-0.00253071	21.7420213869335
-0.00253008	21.7420213869335
-0.00252945	21.73461865561375
-0.00252882	21.73832002127362
-0.00252819	21.7420213869335
-0.00252756	21.7420213869335
-0.00252693	21.7420213869335
-0.0025263	21.7420213869335
-0.00252567	21.7420213869335
-0.00252504	21.73832002127362
-0.00252441	21.73832002127362
-0.00252378	21.73832002127362
-0.00252315	21.73832002127362
-0.00252252	21.74572275259337
-0.00252189	21.74942411825324
-0.00252126	21.75682684957298
-0.00252063	21.74572275259337
-0.00252	21.73832002127362
-0.00251937	21.73832002127362
-0.00251874	21.73832002127362
-0.00251811	21.73461865561375
-0.00251748	21.73832002127362
-0.00251685	21.7420213869335
-0.00251622	21.7420213869335
-0.00251559	21.7420213869335
-0.00251496	21.73832002127362
-0.00251433	21.7420213869335
-0.0025137	21.73832002127362
-0.00251307	21.7420213869335
-0.00251244	21.7420213869335
-0.00251181	21.73461865561375
-0.00251118	21.73832002127362
-0.00251055	21.73832002127362
-0.00250992	21.73832002127362
-0.00250929	21.73461865561375
-0.00250866	21.73461865561375
-0.00250803	21.73832002127362
-0.0025074	21.73832002127362
-0.00250677	21.73461865561375
-0.00250614	21.73091728995388
-0.00250551	21.73461865561375
-0.00250488	21.73832002127362
-0.00250425	21.73832002127362
-0.00250362	21.73461865561375
-0.00250299	21.73832002127362
-0.00250236	21.74202138693349
-0.00250173	21.73461865561375
-0.0025011	21.73832002127362
-0.00250047	21.73461865561375
-0.00249984	21.73461865561375
-0.00249921	21.73461865561375
-0.00249858	21.73461865561375
-0.00249795	21.73832002127362
-0.00249732	21.73461865561375
-0.00249669	21.73091728995388
-0.00249606	21.73461865561375
-0.00249543	21.73461865561375
-0.0024948	21.73091728995388
-0.00249417	21.73091728995388
-0.00249354	21.73461865561375
-0.00249291	21.73091728995388
-0.00249228	21.72721592429401
-0.00249165	21.73091728995388
-0.00249102	21.73091728995388
-0.00249039	21.73091728995388
-0.00248976	21.73091728995388
-0.00248913	21.72721592429401
-0.0024885	21.72351455863414
-0.00248787	21.72351455863414
-0.00248724	21.72721592429401
-0.00248661	21.72721592429401
-0.00248598	21.73091728995388
-0.00248535	21.73091728995388
-0.00248472	21.73091728995388
-0.00248409	21.72721592429401
-0.00248346	21.72721592429401
-0.00248283	21.73461865561375
-0.0024822	21.72721592429401
-0.00248157	21.73091728995388
-0.00248094	21.81604870013093
-0.00248031	21.85676372238951
-0.00247968	21.85306235672966
-0.00247905	21.81234733447106
-0.00247842	21.78643777485197
