vdd	I(Rd)
Step Information: Vi=2.19  (Run: 1/3)
0.000000000000000e+00	-1.339063e-30
5.000000000000000e-02	2.445733e-04
1.000000000000000e-01	4.889303e-04
1.500000000000000e-01	7.330427e-04
2.000000000000000e-01	9.768754e-04
2.500000000000000e-01	1.220385e-03
3.000000000000000e-01	1.463513e-03
3.500000000000000e-01	1.706185e-03
4.000000000000000e-01	1.948296e-03
4.500000000000000e-01	2.189690e-03
4.999999999999999e-01	2.430132e-03
5.499999999999999e-01	2.669209e-03
6.000000000000000e-01	2.906099e-03
6.500000000000000e-01	3.138306e-03
7.000000000000001e-01	3.302464e-03
7.500000000000001e-01	3.302464e-03
8.000000000000002e-01	3.302464e-03
8.500000000000002e-01	3.302464e-03
9.000000000000002e-01	3.302464e-03
9.500000000000003e-01	3.302464e-03
1.000000000000000e+00	3.302464e-03
1.050000000000000e+00	3.302464e-03
1.100000000000000e+00	3.302464e-03
1.150000000000000e+00	3.302464e-03
1.200000000000000e+00	3.302464e-03
1.250000000000000e+00	3.302464e-03
1.300000000000000e+00	3.302464e-03
1.350000000000001e+00	3.302464e-03
1.400000000000001e+00	3.302464e-03
1.450000000000001e+00	3.302464e-03
1.500000000000001e+00	3.302464e-03
1.550000000000001e+00	3.302464e-03
1.600000000000001e+00	3.302464e-03
1.650000000000001e+00	3.302464e-03
1.700000000000001e+00	3.302464e-03
1.750000000000001e+00	3.302464e-03
1.800000000000001e+00	3.302464e-03
1.850000000000001e+00	3.302464e-03
1.900000000000001e+00	3.302464e-03
1.950000000000001e+00	3.302464e-03
2.000000000000001e+00	3.302464e-03
2.050000000000001e+00	3.302464e-03
2.100000000000001e+00	3.302464e-03
2.150000000000000e+00	3.302464e-03
2.200000000000000e+00	3.302464e-03
2.250000000000000e+00	3.302464e-03
2.300000000000000e+00	3.302464e-03
2.350000000000000e+00	3.302464e-03
2.399999999999999e+00	3.302464e-03
2.449999999999999e+00	3.302464e-03
2.499999999999999e+00	3.302464e-03
2.549999999999999e+00	3.302464e-03
2.599999999999999e+00	3.302464e-03
2.649999999999999e+00	3.302464e-03
2.699999999999998e+00	3.302464e-03
2.749999999999998e+00	3.302464e-03
2.799999999999998e+00	3.302464e-03
2.849999999999998e+00	3.302464e-03
2.899999999999998e+00	3.302464e-03
2.949999999999998e+00	3.302464e-03
2.999999999999997e+00	3.302464e-03
3.049999999999997e+00	3.302464e-03
3.099999999999997e+00	3.302464e-03
3.149999999999997e+00	3.302464e-03
3.199999999999997e+00	3.302464e-03
3.249999999999996e+00	3.302464e-03
3.299999999999996e+00	3.302464e-03
3.349999999999996e+00	3.302464e-03
3.399999999999996e+00	3.302464e-03
3.449999999999996e+00	3.302464e-03
3.499999999999996e+00	3.302464e-03
3.549999999999995e+00	3.302464e-03
3.599999999999995e+00	3.302464e-03
3.649999999999995e+00	3.302464e-03
3.699999999999995e+00	3.302464e-03
3.749999999999995e+00	3.302464e-03
3.799999999999994e+00	3.302464e-03
3.849999999999994e+00	3.302464e-03
3.899999999999994e+00	3.302464e-03
3.949999999999994e+00	3.302464e-03
3.999999999999994e+00	3.302464e-03
4.049999999999994e+00	3.302464e-03
4.099999999999993e+00	3.302464e-03
4.149999999999993e+00	3.302464e-03
4.199999999999993e+00	3.302464e-03
4.249999999999993e+00	3.302464e-03
4.299999999999993e+00	3.302464e-03
4.349999999999993e+00	3.302464e-03
4.399999999999992e+00	3.302464e-03
4.449999999999992e+00	3.302464e-03
4.499999999999992e+00	3.302464e-03
4.549999999999992e+00	3.302464e-03
4.599999999999992e+00	3.302464e-03
4.649999999999991e+00	3.302464e-03
4.699999999999991e+00	3.302464e-03
4.749999999999991e+00	3.302464e-03
4.799999999999991e+00	3.302464e-03
4.849999999999991e+00	3.302464e-03
4.899999999999991e+00	3.302464e-03
4.949999999999990e+00	3.302464e-03
5.000000000000000e+00	3.302464e-03
