vi	V(n002)	I(Rd)
2.313999999999944e+00	3.109121e-01	2.344544e-02
2.314999999999944e+00	2.450018e-01	2.377499e-02
2.315999999999943e+00	1.783228e-01	2.410839e-02
2.316999999999943e+00	1.108687e-01	2.444566e-02
2.317999999999943e+00	7.265045e-02	2.463675e-02
2.318999999999943e+00	6.846160e-02	2.465769e-02
2.319999999999943e+00	6.561906e-02	2.467190e-02
2.320999999999943e+00	6.347516e-02	2.468262e-02
2.321999999999943e+00	6.164597e-02	2.469177e-02
2.322999999999943e+00	6.004376e-02	2.469978e-02
2.323999999999943e+00	5.861461e-02	2.470693e-02
2.324999999999942e+00	5.731953e-02	2.471340e-02
2.325999999999942e+00	5.613200e-02	2.471934e-02
2.326999999999942e+00	5.503318e-02	2.472483e-02
2.327999999999942e+00	5.400904e-02	2.472995e-02
2.328999999999942e+00	5.304887e-02	2.473476e-02
2.329999999999942e+00	5.214425e-02	2.473928e-02
2.330999999999942e+00	5.128841e-02	2.474356e-02
2.331999999999942e+00	5.047585e-02	2.474762e-02
2.332999999999942e+00	4.970201e-02	2.475149e-02
2.333999999999941e+00	4.896304e-02	2.475519e-02
2.334999999999941e+00	4.825569e-02	2.475872e-02
2.335999999999941e+00	4.757718e-02	2.476211e-02
2.336999999999941e+00	4.692509e-02	2.476537e-02
2.337999999999941e+00	4.629733e-02	2.476851e-02
2.338999999999941e+00	4.569205e-02	2.477154e-02
2.339999999999941e+00	4.510763e-02	2.477446e-02
2.340999999999941e+00	4.454261e-02	2.477729e-02
2.341999999999941e+00	4.399570e-02	2.478002e-02
2.342999999999940e+00	4.346576e-02	2.478267e-02
2.343999999999940e+00	4.295172e-02	2.478524e-02
2.344999999999940e+00	4.245266e-02	2.478774e-02
2.345999999999940e+00	4.196772e-02	2.479016e-02
2.346999999999940e+00	4.149611e-02	2.479252e-02
2.347999999999940e+00	4.103711e-02	2.479482e-02
2.348999999999940e+00	4.059009e-02	2.479705e-02
2.349999999999940e+00	4.015442e-02	2.479923e-02
2.350999999999940e+00	3.972957e-02	2.480135e-02
2.351999999999939e+00	3.931501e-02	2.480342e-02
2.352999999999939e+00	3.891028e-02	2.480545e-02
2.353999999999939e+00	3.851493e-02	2.480743e-02
2.354999999999939e+00	3.812855e-02	2.480936e-02
2.355999999999939e+00	3.775076e-02	2.481125e-02
2.356999999999939e+00	3.738120e-02	2.481309e-02
2.357999999999939e+00	3.701954e-02	2.481490e-02
2.358999999999939e+00	3.666547e-02	2.481667e-02
2.359999999999939e+00	3.631869e-02	2.481841e-02
2.360999999999938e+00	3.597894e-02	2.482011e-02
2.361999999999938e+00	3.564593e-02	2.482177e-02
2.362999999999938e+00	3.531944e-02	2.482340e-02
2.363999999999938e+00	3.499924e-02	2.482500e-02
2.364999999999938e+00	3.468510e-02	2.482658e-02
2.365999999999938e+00	3.437681e-02	2.482812e-02
2.366999999999938e+00	3.407419e-02	2.482963e-02
2.367999999999938e+00	3.377705e-02	2.483111e-02
2.368999999999938e+00	3.348520e-02	2.483257e-02
2.369999999999937e+00	3.319849e-02	2.483401e-02
2.370999999999937e+00	3.291676e-02	2.483542e-02
2.371999999999937e+00	3.263985e-02	2.483680e-02
2.372999999999937e+00	3.236761e-02	2.483816e-02
2.373999999999937e+00	3.209992e-02	2.483950e-02
2.374999999999937e+00	3.183664e-02	2.484082e-02
2.375999999999937e+00	3.157764e-02	2.484211e-02
2.376999999999937e+00	3.132281e-02	2.484339e-02
2.377999999999937e+00	3.107202e-02	2.484464e-02
2.378999999999936e+00	3.082518e-02	2.484587e-02
2.379999999999936e+00	3.058217e-02	2.484709e-02
2.380999999999936e+00	3.034289e-02	2.484829e-02
2.381999999999936e+00	3.010725e-02	2.484946e-02
2.382999999999936e+00	2.987515e-02	2.485062e-02
2.383999999999936e+00	2.964651e-02	2.485177e-02
2.384999999999936e+00	2.942123e-02	2.485289e-02
2.385999999999936e+00	2.919924e-02	2.485400e-02
2.386999999999936e+00	2.898045e-02	2.485510e-02
2.387999999999936e+00	2.876480e-02	2.485618e-02
2.388999999999935e+00	2.855219e-02	2.485724e-02
2.389999999999935e+00	2.834257e-02	2.485829e-02
2.390999999999935e+00	2.813587e-02	2.485932e-02
2.391999999999935e+00	2.793202e-02	2.486034e-02
2.392999999999935e+00	2.773094e-02	2.486135e-02
2.393999999999935e+00	2.753260e-02	2.486234e-02
2.394999999999935e+00	2.733691e-02	2.486332e-02
2.395999999999935e+00	2.714383e-02	2.486428e-02
2.396999999999935e+00	2.695330e-02	2.486523e-02
2.397999999999934e+00	2.676527e-02	2.486617e-02
2.398999999999934e+00	2.657968e-02	2.486710e-02
2.400000000000000e+00	2.639648e-02	2.486802e-02
