vi	V(n002)	I(Rd)
1.916999999999987e+00	4.996310e+00	1.845102e-05
1.917999999999987e+00	4.996236e+00	1.881972e-05
1.918999999999987e+00	4.996161e+00	1.919575e-05
1.919999999999987e+00	4.996084e+00	1.957925e-05
1.920999999999987e+00	4.996006e+00	1.997037e-05
1.921999999999987e+00	4.995926e+00	2.036925e-05
1.922999999999986e+00	4.995845e+00	2.077606e-05
1.923999999999986e+00	4.995762e+00	2.119095e-05
1.924999999999986e+00	4.995677e+00	2.161407e-05
1.925999999999986e+00	4.995591e+00	2.204560e-05
1.926999999999986e+00	4.995503e+00	2.248568e-05
1.927999999999986e+00	4.995413e+00	2.293450e-05
1.928999999999986e+00	4.995322e+00	2.339223e-05
1.929999999999986e+00	4.995228e+00	2.385903e-05
1.930999999999986e+00	4.995133e+00	2.433509e-05
1.931999999999986e+00	4.995036e+00	2.482058e-05
1.932999999999985e+00	4.994937e+00	2.531571e-05
1.933999999999985e+00	4.994836e+00	2.582064e-05
1.934999999999985e+00	4.994733e+00	2.633559e-05
1.935999999999985e+00	4.994628e+00	2.686073e-05
1.936999999999985e+00	4.994521e+00	2.739628e-05
1.937999999999985e+00	4.994411e+00	2.794244e-05
1.938999999999985e+00	4.994300e+00	2.849941e-05
1.939999999999985e+00	4.994186e+00	2.906741e-05
1.940999999999985e+00	4.994071e+00	2.964664e-05
1.941999999999984e+00	4.993953e+00	3.023735e-05
1.942999999999984e+00	4.993832e+00	3.083974e-05
1.943999999999984e+00	4.993709e+00	3.145404e-05
1.944999999999984e+00	4.993584e+00	3.208050e-05
1.945999999999984e+00	4.993456e+00	3.271934e-05
1.946999999999984e+00	4.993326e+00	3.337082e-05
1.947999999999984e+00	4.993193e+00	3.403517e-05
1.948999999999984e+00	4.993057e+00	3.471264e-05
1.949999999999984e+00	4.992919e+00	3.540351e-05
1.950999999999983e+00	4.992778e+00	3.610801e-05
1.951999999999983e+00	4.992635e+00	3.682643e-05
1.952999999999983e+00	4.992488e+00	3.755904e-05
1.953999999999983e+00	4.992339e+00	3.830611e-05
1.954999999999983e+00	4.992187e+00	3.906791e-05
1.955999999999983e+00	4.992031e+00	3.984475e-05
1.956999999999983e+00	4.991873e+00	4.063691e-05
1.957999999999983e+00	4.991711e+00	4.144469e-05
1.958999999999983e+00	4.991546e+00	4.226840e-05
1.959999999999982e+00	4.991378e+00	4.310835e-05
1.960999999999982e+00	4.991207e+00	4.396485e-05
1.961999999999982e+00	4.991032e+00	4.483822e-05
1.962999999999982e+00	4.990854e+00	4.572879e-05
1.963999999999982e+00	4.990673e+00	4.663691e-05
1.964999999999982e+00	4.990488e+00	4.756289e-05
1.965999999999982e+00	4.990299e+00	4.850711e-05
1.966999999999982e+00	4.990106e+00	4.946990e-05
1.967999999999982e+00	4.989910e+00	5.045164e-05
1.968999999999981e+00	4.989709e+00	5.145268e-05
1.969999999999981e+00	4.989505e+00	5.247340e-05
1.970999999999981e+00	4.989297e+00	5.351418e-05
1.971999999999981e+00	4.989085e+00	5.457542e-05
1.972999999999981e+00	4.988869e+00	5.565751e-05
