time	V(n004)	V(n002)
1.000137576358553e-02	5.000000e+00	1.249847e-03
1.000162255458628e-02	5.000000e+00	1.249838e-03
1.000208013740063e-02	5.000000e+00	1.249843e-03
1.000284756448488e-02	5.000000e+00	1.249840e-03
1.000438241865340e-02	5.000000e+00	1.249842e-03
1.000745212699043e-02	5.000000e+00	1.249841e-03
1.001359154366449e-02	5.000000e+00	1.249842e-03
1.002587037701262e-02	5.000000e+00	1.249841e-03
1.004930787701262e-02	5.000000e+00	1.249842e-03
1.993993287701258e-02	5.000000e+00	1.249842e-03
1.997756250000000e-02	5.000000e+00	1.249842e-03
2.000100000000000e-02	5.000000e+00	1.251040e-03
2.000334375000000e-02	4.988281e+00	1.255271e-03
2.000803125000000e-02	4.964844e+00	1.265152e-03
2.003883482142857e-02	4.810826e+00	1.329608e-03
2.006963839285714e-02	4.656808e+00	1.410794e-03
2.010044196428572e-02	4.502790e+00	1.508710e-03
2.013124553571429e-02	4.348772e+00	1.623357e-03
2.016204910714286e-02	4.194754e+00	1.754733e-03
2.019285267857143e-02	4.040737e+00	1.902839e-03
2.022365625000001e-02	3.886719e+00	2.067676e-03
2.027053125000001e-02	3.652344e+00	2.412798e-03
2.029396875000001e-02	3.535156e+00	2.635194e-03
2.031740625000001e-02	3.417969e+00	2.905068e-03
2.034084375000001e-02	3.300781e+00	3.239580e-03
2.036428125000001e-02	3.183594e+00	3.665377e-03
2.038771875000001e-02	3.066406e+00	4.226248e-03
2.041115625000001e-02	2.949219e+00	4.999568e-03
2.043459375000001e-02	2.832031e+00	6.135724e-03
2.045803125000002e-02	2.714844e+00	7.966920e-03
2.048146875000002e-02	2.597656e+00	1.137884e-02
2.050490625000002e-02	2.480469e+00	1.856009e-02
2.052243371892221e-02	2.392831e+00	3.108953e-02
2.053300025871619e-02	2.339999e+00	1.573462e-01
2.053849486024098e-02	2.312526e+00	6.392789e-01
2.054223822463673e-02	2.293809e+00	1.438075e+00
2.054418669031521e-02	2.284066e+00	1.930369e+00
2.054606570941658e-02	2.274672e+00	2.337266e+00
2.054796815835769e-02	2.265159e+00	2.700145e+00
2.054977758233824e-02	2.256112e+00	3.003162e+00
2.055182845662852e-02	2.245858e+00	3.301812e+00
2.055397868973666e-02	2.235106e+00	3.567335e+00
2.055734556221932e-02	2.218272e+00	3.906789e+00
2.056084428875241e-02	2.200778e+00	4.171705e+00
2.056784174181857e-02	2.165791e+00	4.530530e+00
2.057419068550485e-02	2.134047e+00	4.722102e+00
2.058688857287741e-02	2.070557e+00	4.895515e+00
2.060035009855853e-02	2.003249e+00	4.966035e+00
2.062378759855853e-02	1.886062e+00	4.993862e+00
2.064722509855853e-02	1.768875e+00	4.999352e+00
2.067066259855853e-02	1.651687e+00	4.999897e+00
2.069410009855853e-02	1.534500e+00	4.999950e+00
2.071753759855853e-02	1.417312e+00	4.999956e+00
2.074097509855853e-02	1.300125e+00	4.999957e+00
2.095191259855854e-02	2.454370e-01	4.999961e+00
2.097535009855854e-02	1.282495e-01	4.999872e+00
2.097756250000000e-02	1.171875e-01	4.999911e+00
2.098198730288291e-02	9.506349e-02	4.999985e+00
2.099083690864872e-02	5.081546e-02	4.999958e+00
2.100100000000000e-02	4.440892e-15	4.994794e+00
2.100103714934172e-02	0.000000e+00	4.997445e+00
2.100111144802516e-02	0.000000e+00	5.000087e+00
2.100113688911042e-02	0.000000e+00	5.000222e+00
2.100117292861342e-02	0.000000e+00	5.000033e+00
2.100120794267967e-02	0.000000e+00	5.000002e+00
2.100125336788735e-02	0.000000e+00	5.000000e+00
2.100154988400633e-02	0.000000e+00	5.000000e+00
2.152448551150104e-02	0.000000e+00	5.000000e+00
2.398542301150113e-02	0.000000e+00	5.000000e+00
2.400000000000000e-02	0.000000e+00	5.000000e+00
